name,state,state_conf
hCoV-19/Wuhan/HBCDC-HB-03/2019|EPI_ISL_412899|2019-12-30,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Thailand/SI200433-NT/2020|EPI_ISL_437621|2020-01-25,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Wuhan/HB-WH3-176/2020|EPI_ISL_454940|2020-02-28,NON_GA,"[0.0, 1.0]"
hCoV-19/Taiwan/CGMH-CGU-01/2020|EPI_ISL_411915|2020-01-25,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Singapore/3/2020|EPI_ISL_407988|2020-02-01,NON_GA,"[0.0, 1.0]"
hCoV-19/Japan/FHU-CS29-0221/2020|EPI_ISL_727999|2020-02-21,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/South_Korea/KCDC2004/2020|EPI_ISL_426164|2020-02-02,NON_GA,"[0.0, 1.0]"
hCoV-19/Israel/CVL-n2820/2020|EPI_ISL_649073|2020-03-08,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH2-160/2020|EPI_ISL_454928|2020-02-28,NON_GA,"[0.0, 1.0]"
hCoV-19/Lu_an/678/2020|EPI_ISL_1081326|2020-02-14,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Wuhan/HB-WH4-204/2020|EPI_ISL_454954|2020-03-17,NON_GA,"[0.0, 1.0]"
hCoV-19/Japan/FHU-CS56-0221/2020|EPI_ISL_728000|2020-02-21,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Thailand/Nonthaburi_59/2020|EPI_ISL_447909|2020-01-13,NON_GA,"[0.0, 1.0]"
hCoV-19/Indonesia/PP-EIJK-11/2020|EPI_ISL_568693|2020-03-28,NON_GA,"[0.0, 1.0]"
hCoV-19/Japan/NA-20-05-1/2020|EPI_ISL_410531|2020-01-25,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Japan/PG-0360/2020|EPI_ISL_684163|2020-02-18,NON_GA,"[0.0, 1.0]"
hCoV-19/Zhejiang/WZ-02/2020|EPI_ISL_404228|2020-01-17,NON_GA,"[0.0, 1.0]"
hCoV-19/Jiangsu/IVDC-JS-001/2020|EPI_ISL_408488|2020-01-19,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/IPBCAMS-WH-04/2019|EPI_ISL_403929|2019-12-30,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Singapore/1154/2020|EPI_ISL_648072|2020-03-05,NON_GA,"[0.0, 1.0]"
hCoV-19/Zhejiang/WZ-01/2020|EPI_ISL_404227|2020-01-16,NON_GA,"[0.0, 1.0]"
hCoV-19/Hong_Kong/HKPU60-0802/2020|EPI_ISL_419228|2020-02-17,NON_GA,"[0.0, 1.0]"
hCoV-19/Indonesia/SA-EIJK-06/2020|EPI_ISL_467375|2020-03-23,NON_GA,"[0.0, 1.0]"
hCoV-19/Japan/PG-2175/2020|EPI_ISL_685780|2020-02-14,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/Lu_an/425/2020|EPI_ISL_1081260|2020-02-08,NON_GA,"[0.0, 1.0]"
hCoV-19/Thailand/NIH-59/2020|EPI_ISL_434693|2020-01-16,NON_GA,"[0.0, 1.0]"
hCoV-19/United_Arab_Emirates/L4184/2020|EPI_ISL_435133|2020-03-10,NON_GA,"[0.0, 0.9999999999999999]"
hCoV-19/USA/CA-SCCPHD-UC133/2020|EPI_ISL_435612|2020-03-07,NON_GA,"[0.0, 1.0]"
hCoV-19/Wuhan/HB-WH1-134/2020|EPI_ISL_454911|2020-02-22,NON_GA,"[0.0, 1.0]"
hCoV-19/England/20096051004/2020|EPI_ISL_464187|2020-02-26,NON_GA,"[0.0, 1.0]"
