week_end_date,19B,20A,20B,20C,dt
2020.1653005464482,0.0,0.0,2.0,0.0,2020-03-01
2020.1844262295083,7.0,0.0,4.0,0.0,2020-03-08
2020.2035519125684,39.0,1.0,1.0,5.0,2020-03-15
2020.2226775956285,26.0,5.0,1.0,4.0,2020-03-22
2020.2418032786886,1.0,0.0,0.0,0.0,2020-03-29
2020.2609289617487,4.0,1.0,0.0,7.0,2020-04-05
