GeorgiaUSA	19
TexasUSA	17
MinnesotaUSA	16
New YorkUSA	16
FloridaUSA	15
South CarolinaUSA	15
MichiganUSA	14
IllinoisUSA	13
MarylandUSA	11
CaliforniaUSA	11
MassachusettsUSA	11
China	9
WisconsinUSA	9
DelawareUSA	8
WashingtonUSA	6
VirginiaUSA	6
UtahUSA	6
South Korea	5
ArizonaUSA	5
LouisianaUSA	5
MississippiUSA	4
Hong Kong	3
Vietnam	2
