Beijing/DT-BJ01/2020	EPI_ISL_452358	True
Beijing/DT-BJ03/2020	EPI_ISL_452361	True
Beijing/ICDC-DT005/2020	EPI_ISL_412386	True
Beijing/IME-HZ01/2020	EPI_ISL_450444	True
Beijing/IVDC-Wu-BJ56Y/2020	EPI_ISL_1260834	True
Beijing/Wuhan_IME-BJ01/2020	EPI_ISL_424355	True
Beijing/Wuhan_IME-BJ02/2020	EPI_ISL_424356	True
Beijing/Wuhan_IME-BJ05/2020	EPI_ISL_424359	True
Belgium/20A30/2020	EPI_ISL_451935	True
Belgium/AZKLINA120-038065/2020	EPI_ISL_1020173	True
Belgium/BA-0330335/2020	EPI_ISL_462189	True
Belgium/BG-030551/2020	EPI_ISL_418806	True
Belgium/BGM-030444/2020	EPI_ISL_420442	True
Belgium/DJ-0323409/2020	EPI_ISL_462263	True
Belgium/DVBJ-030468/2020	EPI_ISL_420324	True
Belgium/GS-030549/2020	EPI_ISL_418798	True
Belgium/HAA-030953/2020	EPI_ISL_418982	True
Belgium/HP-0319108/2020	EPI_ISL_420364	True
Belgium/ITM_C030/2020	EPI_ISL_434376	True
Belgium/KA-03042/2020	EPI_ISL_417424	True
Belgium/LAM-0325339/2020	EPI_ISL_462193	True
Belgium/LL-0328341/2020	EPI_ISL_462195	True
Belgium/LMA-0330384/2020	EPI_ISL_462238	True
Belgium/MAC-0324142/2020	EPI_ISL_420399	True
Belgium/MBLG51240/2020	EPI_ISL_1029971	True
Belgium/MBLG61807/2020	EPI_ISL_949247	True
Belgium/MC-0323129/2020	EPI_ISL_420386	True
Belgium/MMJ-03034/2020	EPI_ISL_417429	True
Belgium/MT-0322411/2020	EPI_ISL_462265	True
Belgium/MTR-03021/2020	EPI_ISL_416467	True
Belgium/NIM-0324161/2020	EPI_ISL_420418	True
Belgium/NMA-0324169/2020	EPI_ISL_420426	True
Belgium/OS-0325137/2020	EPI_ISL_420394	True
Belgium/OT-0319109/2020	EPI_ISL_420365	True
Belgium/PC-0325182/2020	EPI_ISL_420439	True
Belgium/PF-0326316/2020	EPI_ISL_462170	True
Belgium/QL-0324173/2020	EPI_ISL_420430	True
Belgium/RA-030445/2020	EPI_ISL_420443	True
Belgium/RJL-030588/2020	EPI_ISL_420344	True
Belgium/Rega-0320258/2020	EPI_ISL_458228	True
Belgium/Rega-0327213/2020	EPI_ISL_458183	True
Belgium/Rega-0328198/2020	EPI_ISL_458168	True
Belgium/Rega-0328203/2020	EPI_ISL_458173	True
Belgium/Rega-0329229/2020	EPI_ISL_458199	True
Belgium/Rega-0329244/2020	EPI_ISL_458214	True
Belgium/Rega-0331263/2020	EPI_ISL_458233	True
Belgium/SG-0328314/2020	EPI_ISL_462168	True
Belgium/SS-031047/2020	EPI_ISL_418793	True
Belgium/STM-0324170/2020	EPI_ISL_420427	True
Belgium/UGent-101/2020	EPI_ISL_475061	True
Belgium/UGent-105/2020	EPI_ISL_475065	True
Belgium/UGent-106/2020	EPI_ISL_475066	True
Belgium/UGent-109/2020	EPI_ISL_475069	True
Belgium/UGent-119/2020	EPI_ISL_475079	True
Belgium/UGent-19/2020	EPI_ISL_425059	True
Belgium/UGent-2/2020	EPI_ISL_425050	True
Belgium/UGent-82/2020	EPI_ISL_468731	True
Belgium/UGent-85/2020	EPI_ISL_468733	True
Belgium/UGent-87/2020	EPI_ISL_468735	True
Belgium/UGent-90/2020	EPI_ISL_468738	True
Belgium/ULG-10011/2020	EPI_ISL_421189	True
Belgium/ULG-10014/2020	EPI_ISL_421192	True
Belgium/ULG-10015/2020	EPI_ISL_421193	True
Belgium/ULG-10215/2020	EPI_ISL_484703	True
Belgium/ULG-3000/2020	EPI_ISL_417004	True
Belgium/ULG-6754/2020	EPI_ISL_417019	True
Belgium/ULG-6948/2020	EPI_ISL_417022	True
Belgium/ULG-7242/2020	EPI_ISL_418626	True
Belgium/ULG-7921/2020	EPI_ISL_447136	True
Belgium/ULG-8532/2020	EPI_ISL_418635	True
Belgium/ULG-9714/2020	EPI_ISL_418655	True
Belgium/ULG-9715/2020	EPI_ISL_418656	True
Belgium/ULG-9732/2020	EPI_ISL_418660	True
Belgium/VM-0325171/2020	EPI_ISL_420428	True
Belgium/VME-0327346/2020	EPI_ISL_462200	True
Belgium/VPP-0331379/2020	EPI_ISL_462233	True
Belgium/WWM-030665/2020	EPI_ISL_420321	True
Belgium/rega-03041161/2020	EPI_ISL_738201	True
Belgium/rega-03061153/2020	EPI_ISL_738203	True
Belgium/rega-03121133/2020	EPI_ISL_734504	True
BosniaandHerzegovina/ChVir7366/2020	EPI_ISL_462468	True
BosniaandHerzegovina/ChVir7367/2020	EPI_ISL_462469	True
Brazil/BA-18.1/2020	EPI_ISL_1068332	True
Brazil/BA-19.1/2020	EPI_ISL_1068333	True
Brazil/BA-22.1/2020	EPI_ISL_1068336	True
Brazil/BA-25.1/2020	EPI_ISL_1068339	True
Brazil/BA-25/2020	EPI_ISL_978510	True
Brazil/BA-26.1/2020	EPI_ISL_1068340	True
Brazil/BA-27.1/2020	EPI_ISL_1068341	True
Brazil/BA-33.1/2020	EPI_ISL_1068347	True
Brazil/BA-33/2020	EPI_ISL_978518	True
Brazil/BA-39.1/2020	EPI_ISL_1068353	True
Brazil/BA-42.1/2020	EPI_ISL_1068356	True
Brazil/BA-42/2020	EPI_ISL_978527	True
Brazil/MG-CV33/2020	EPI_ISL_429689	True
Brazil/PR-FIOCRUZ-33313/2020	EPI_ISL_1181610	True
Brazil/RJ-DCVN1/2020	EPI_ISL_509434	True
Brazil/RJ-FIOCRUZ-1157/2020	EPI_ISL_1181611	True
Brazil/RJ-FIOCRUZ-912/2020	EPI_ISL_1181608	True
Brazil/RS-FIOCRUZ-6169/2020	EPI_ISL_729819	True
Brazil/SE-FIOCRUZ-6533/2020	EPI_ISL_541374	True
Brazil/SP-06/2020	EPI_ISL_414015	True
Brazil/SP-08/2020	EPI_ISL_416029	True
Brazil/SP-09/2020	EPI_ISL_416031	True
Brazil/SP-122/2020	EPI_ISL_515522	True
Brazil/SP-272/2020	EPI_ISL_524462	True
Brazil/SP-294/2020	EPI_ISL_527862	True
Brazil/SP-625/2020	EPI_ISL_515528	True
Brazil/SP-812/2020	EPI_ISL_861628	True
Brazil/SP-818/2020	EPI_ISL_776753	True
Brazil/SP-861/2020	EPI_ISL_861636	True
Brazil/SP-HIAE-ID43/2020	EPI_ISL_861907	True
Brazil/SP-HIAE-ID49/2020	EPI_ISL_861913	True
Brazil/SP-L12-CD28/2020	EPI_ISL_476221	True
Bulgaria/23/2020	EPI_ISL_480303	True
Bulgaria/41/2020	EPI_ISL_480310	True
Canada/AB-12751/2020	EPI_ISL_806078	True
Canada/AB-26007/2020	EPI_ISL_805869	True
Canada/AB-72930/2020	EPI_ISL_805615	True
Canada/MB-NML-639/2020	EPI_ISL_632921	True
