Beijing/Wuhan_IME-BJ05/2020	EPI_ISL_424359
Belgium/20A30/2020	EPI_ISL_451935
Belgium/AZKLINA120-038065/2020	EPI_ISL_1020173
Belgium/BA-0330335/2020	EPI_ISL_462189
Belgium/BG-030551/2020	EPI_ISL_418806
Belgium/BGM-030444/2020	EPI_ISL_420442
Belgium/DJ-0323409/2020	EPI_ISL_462263
Belgium/DVBJ-030468/2020	EPI_ISL_420324
Belgium/GS-030549/2020	EPI_ISL_418798
Belgium/HAA-030953/2020	EPI_ISL_418982
Belgium/HP-0319108/2020	EPI_ISL_420364
Belgium/ITM_C030/2020	EPI_ISL_434376
Belgium/KA-03042/2020	EPI_ISL_417424
Belgium/LAM-0325339/2020	EPI_ISL_462193
Belgium/LL-0328341/2020	EPI_ISL_462195
Belgium/LMA-0330384/2020	EPI_ISL_462238
Belgium/MAC-0324142/2020	EPI_ISL_420399
Belgium/MBLG51240/2020	EPI_ISL_1029971
Belgium/MBLG61807/2020	EPI_ISL_949247
Belgium/MC-0323129/2020	EPI_ISL_420386
Belgium/MMJ-03034/2020	EPI_ISL_417429
Belgium/MT-0322411/2020	EPI_ISL_462265
Belgium/MTR-03021/2020	EPI_ISL_416467
Belgium/NIM-0324161/2020	EPI_ISL_420418
Belgium/NMA-0324169/2020	EPI_ISL_420426
Belgium/OS-0325137/2020	EPI_ISL_420394
Belgium/OT-0319109/2020	EPI_ISL_420365
Belgium/PC-0325182/2020	EPI_ISL_420439
Belgium/PF-0326316/2020	EPI_ISL_462170
Belgium/QL-0324173/2020	EPI_ISL_420430
Belgium/RA-030445/2020	EPI_ISL_420443
Belgium/RJL-030588/2020	EPI_ISL_420344
Belgium/Rega-0320258/2020	EPI_ISL_458228
Belgium/Rega-0327213/2020	EPI_ISL_458183
Belgium/Rega-0328198/2020	EPI_ISL_458168
Belgium/Rega-0328203/2020	EPI_ISL_458173
Belgium/Rega-0329229/2020	EPI_ISL_458199
Belgium/Rega-0329244/2020	EPI_ISL_458214
Belgium/Rega-0331263/2020	EPI_ISL_458233
Belgium/SG-0328314/2020	EPI_ISL_462168
Belgium/SS-031047/2020	EPI_ISL_418793
Belgium/STM-0324170/2020	EPI_ISL_420427
Belgium/UGent-101/2020	EPI_ISL_475061
Belgium/UGent-105/2020	EPI_ISL_475065
Belgium/UGent-106/2020	EPI_ISL_475066
Belgium/UGent-109/2020	EPI_ISL_475069
Belgium/UGent-119/2020	EPI_ISL_475079
Belgium/UGent-19/2020	EPI_ISL_425059
Belgium/UGent-2/2020	EPI_ISL_425050
Belgium/UGent-82/2020	EPI_ISL_468731
Belgium/UGent-85/2020	EPI_ISL_468733
Belgium/UGent-87/2020	EPI_ISL_468735
Belgium/UGent-90/2020	EPI_ISL_468738
Belgium/ULG-10011/2020	EPI_ISL_421189
Belgium/ULG-10014/2020	EPI_ISL_421192
Belgium/ULG-10015/2020	EPI_ISL_421193
Belgium/ULG-10215/2020	EPI_ISL_484703
Belgium/ULG-3000/2020	EPI_ISL_417004
Belgium/ULG-6754/2020	EPI_ISL_417019
Belgium/ULG-6948/2020	EPI_ISL_417022
Belgium/ULG-7242/2020	EPI_ISL_418626
Belgium/ULG-7921/2020	EPI_ISL_447136
Belgium/ULG-8532/2020	EPI_ISL_418635
Belgium/ULG-9714/2020	EPI_ISL_418655
Belgium/ULG-9715/2020	EPI_ISL_418656
Belgium/ULG-9732/2020	EPI_ISL_418660
Belgium/VM-0325171/2020	EPI_ISL_420428
Belgium/VME-0327346/2020	EPI_ISL_462200
Belgium/VPP-0331379/2020	EPI_ISL_462233
Belgium/WWM-030665/2020	EPI_ISL_420321
Belgium/rega-03041161/2020	EPI_ISL_738201
Belgium/rega-03061153/2020	EPI_ISL_738203
Belgium/rega-03121133/2020	EPI_ISL_734504
BosniaandHerzegovina/ChVir7366/2020	EPI_ISL_462468
BosniaandHerzegovina/ChVir7367/2020	EPI_ISL_462469
Brazil/BA-18.1/2020	EPI_ISL_1068332
Brazil/BA-19.1/2020	EPI_ISL_1068333
Brazil/BA-22.1/2020	EPI_ISL_1068336
Brazil/BA-25.1/2020	EPI_ISL_1068339
Brazil/BA-25/2020	EPI_ISL_978510
Brazil/BA-26.1/2020	EPI_ISL_1068340
Brazil/BA-27.1/2020	EPI_ISL_1068341
Brazil/BA-33.1/2020	EPI_ISL_1068347
Brazil/BA-33/2020	EPI_ISL_978518
Brazil/BA-39.1/2020	EPI_ISL_1068353
Brazil/BA-42.1/2020	EPI_ISL_1068356
Brazil/BA-42/2020	EPI_ISL_978527
